path_idx	node	event	event_count	C_ancestor	C_derived	Migration	BigL	hetA	fixed	hetB	hetAB
27	LCA	LCA	0	0	0	0	0	0	0	0	0
28	0	Migration	2	1	1	2	1	2	0	2	0
28	3	C_derived	2	0	3	1	1	2	0	2	0
28	10	C_derived	1	0	1	1	1	1	0	1	1
28	17	Migration	1	0	0	1	1	2	0	0	0
28	24	BigL	1	0	1	0	1	2	0	0	0
28	19	C_ancestor	1	1	0	0	0	2	0	0	0
28	LCA	LCA	0	0	0	0	0	0	0	0	0
29	0	Migration	2	1	1	2	1	2	0	2	0
29	3	C_derived	2	0	3	1	1	2	0	2	0
29	10	C_derived	1	0	1	1	1	1	0	1	1
29	17	BigL	1	0	0	1	1	2	0	0	0
29	19	C_ancestor	1	1	0	0	0	2	0	0	0
29	LCA	LCA	0	0	0	0	0	0	0	0	0
30	0	Migration	2	1	1	2	1	2	0	2	0
30	3	C_derived	2	0	3	1	1	2	0	2	0
30	10	Migration	1	0	1	1	1	1	0	1	1
30	20	C_derived	1	0	3	0	1	1	0	1	1
30	15	C_derived	1	0	1	0	1	0	0	2	0
30	22	BigL	1	0	0	0	1	0	0	0	0
30	LCA	LCA	0	0	0	0	0	0	0	0	0
31	0	Migration	2	1	1	2	1	2	0	2	0
31	3	C_derived	2	0	3	1	1	2	0	2	0
31	10	Migration	1	0	1	1	1	1	0	1	1
31	20	C_derived	1	0	3	0	1	1	0	1	1
31	15	BigL	1	0	1	0	1	0	0	2	0
31	16	C_ancestor	1	1	0	0	0	0	0	2	0
31	LCA	LCA	0	0	0	0	0	0	0	0	0
32	0	Migration	2	1	1	2	1	2	0	2	0
32	3	C_derived	2	0	3	1	1	2	0	2	0
32	10	Migration	1	0	1	1	1	1	0	1	1
32	20	C_derived	1	0	3	0	1	1	0	1	1
32	25	C_derived	1	0	1	0	1	0	0	0	2
32	22	BigL	1	0	0	0	1	0	0	0	0
32	LCA	LCA	0	0	0	0	0	0	0	0	0
33	0	Migration	2	1	1	2	1	2	0	2	0
33	3	C_derived	2	0	3	1	1	2	0	2	0
33	10	Migration	1	0	1	1	1	1	0	1	1
33	20	C_derived	1	0	3	0	1	1	0	1	1
33	25	BigL	1	0	1	0	1	0	0	0	2
33	21	C_ancestor	1	1	0	0	0	0	0	0	2
33	LCA	LCA	0	0	0	0	0	0	0	0	0
34	0	Migration	2	1	1	2	1	2	0	2	0
34	3	C_derived	2	0	3	1	1	2	0	2	0
34	10	Migration	1	0	1	1	1	1	0	1	1
34	20	C_derived	1	0	3	0	1	1	0	1	1
34	24	C_derived	1	0	1	0	1	2	0	0	0
34	22	BigL	1	0	0	0	1	0	0	0	0
34	LCA	LCA	0	0	0	0	0	0	0	0	0
35	0	Migration	2	1	1	2	1	2	0	2	0
35	3	C_derived	2	0	3	1	1	2	0	2	0
35	10	Migration	1	0	1	1	1	1	0	1	1
35	20	C_derived	1	0	3	0	1	1	0	1	1
35	24	BigL	1	0	1	0	1	2	0	0	0
35	19	C_ancestor	1	1	0	0	0	2	0	0	0
35	LCA	LCA	0	0	0	0	0	0	0	0	0
36	0	Migration	2	1	1	2	1	2	0	2	0
36	3	C_derived	2	0	3	1	1	2	0	2	0
36	10	Migration	1	0	1	1	1	1	0	1	1
36	20	BigL	1	0	3	0	1	1	0	1	1
36	12	C_ancestor	1	3	0	0	0	1	0	1	1
36	16	C_ancestor	1	1	0	0	0	0	0	2	0
36	LCA	LCA	0	0	0	0	0	0	0	0	0
37	0	Migration	2	1	1	2	1	2	0	2	0
37	3	C_derived	2	0	3	1	1	2	0	2	0
37	10	Migration	1	0	1	1	1	1	0	1	1
37	20	BigL	1	0	3	0	1	1	0	1	1
37	12	C_ancestor	1	3	0	0	0	1	0	1	1
37	21	C_ancestor	1	1	0	0	0	0	0	0	2
37	LCA	LCA	0	0	0	0	0	0	0	0	0
38	0	Migration	2	1	1	2	1	2	0	2	0
38	3	C_derived	2	0	3	1	1	2	0	2	0
38	10	Migration	1	0	1	1	1	1	0	1	1
38	20	BigL	1	0	3	0	1	1	0	1	1
38	12	C_ancestor	1	3	0	0	0	1	0	1	1
38	19	C_ancestor	1	1	0	0	0	2	0	0	0
38	LCA	LCA	0	0	0	0	0	0	0	0	0
39	0	Migration	2	1	1	2	1	2	0	2	0
