path_idx	node_id	LCA	label	event	count	J_A_B	C_A	C_A_B	m_2	m_4
22	14	10	A=[a1,a1+a2,a2]	C_A	1	1	3	0	2	1
22	15	10	A=[a1+a2,a1+a2]	J_A_B	1	1	1	0	0	2
22	10	10	A_B=[a1+a2,a1+a2]	C_A_B	1	0	0	1	0	2
23	3	10	A=[a1,a1,a2,a2]	C_A	4	1	6	0	4	0
23	7	10	A=[a1,a1+a2,a2]	C_A	1	1	3	0	2	1
23	8	10	A=[a1,a1+a2+a2]	J_A_B	1	1	1	0	1	0
23	10	10	A_B=[a1,a1+a2+a2]	C_A_B	1	0	0	1	1	0
24	4	10	A=[a1,a1,a2,a2]	C_A	1	1	6	0	4	0
24	5	10	A=[a1,a1,a2+a2]	J_A_B	1	1	3	0	2	1
24	11	10	A_B=[a1,a1,a2+a2]	C_A_B	1	0	0	3	2	1
24	10	10	A_B=[a1+a1,a2+a2]	C_A_B	1	0	0	1	0	2
25	4	10	A=[a1,a1,a2,a2]	C_A	1	1	6	0	4	0
25	5	10	A=[a1,a1,a2+a2]	J_A_B	1	1	3	0	2	1
25	8	10	A_B=[a1,a1,a2+a2]	C_A_B	2	0	0	3	2	1
25	10	10	A_B=[a1,a1+a2+a2]	C_A_B	1	0	0	1	1	0
26	4	10	A=[a1,a1,a2,a2]	C_A	1	1	6	0	4	0
26	6	10	A=[a1,a1,a2+a2]	C_A	1	1	3	0	2	1
26	11	10	A=[a1+a1,a2+a2]	J_A_B	1	1	1	0	0	2
26	10	10	A_B=[a1+a1,a2+a2]	C_A_B	1	0	0	1	0	2
27	4	10	A=[a1,a1,a2,a2]	C_A	1	1	6	0	4	0
27	7	10	A=[a1,a1,a2+a2]	C_A	2	1	3	0	2	1
27	8	10	A=[a1,a1+a2+a2]	J_A_B	1	1	1	0	1	0
27	10	10	A_B=[a1,a1+a2+a2]	C_A_B	1	0	0	1	1	0
