path_idx	node_id	LCA	label	event	count	J_A_B	C_A	C_A_B	C_B	M_B_A	m_1	m_2	m_3	m_4
78	18	16	A_B=[a1,a1,b1,b1]	C_A_B	4	0	0	6	0	0	2	2	0	0
78	14	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
78	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
79	4	16	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
79	7	16	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
79	1	16	A=[a1,a1,b1,b1]	J_A_B	1	1	6	0	0	0	2	2	0	0
79	11	16	A_B=[a1,a1,b1,b1]	C_A_B	1	0	0	6	0	0	2	2	0	0
79	17	16	A_B=[a1,a1,b1+b1]	C_A_B	1	0	0	3	0	0	0	2	0	1
79	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
80	4	16	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
80	7	16	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
80	1	16	A=[a1,a1,b1,b1]	J_A_B	1	1	6	0	0	0	2	2	0	0
80	11	16	A_B=[a1,a1,b1,b1]	C_A_B	1	0	0	6	0	0	2	2	0	0
80	14	16	A_B=[a1,a1,b1+b1]	C_A_B	2	0	0	3	0	0	0	2	0	1
80	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
81	4	16	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
81	7	16	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
81	8	16	A=[a1,a1,b1,b1]	C_A	1	1	6	0	0	0	2	2	0	0
81	23	16	A=[a1+a1,b1,b1]	J_A_B	1	1	3	0	0	0	2	0	0	1
81	22	16	A_B=[a1+a1,b1,b1]	C_A_B	2	0	0	3	0	0	2	0	0	1
81	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
82	4	16	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
82	7	16	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
82	8	16	A=[a1,a1,b1,b1]	C_A	1	1	6	0	0	0	2	2	0	0
82	23	16	A=[a1+a1,b1,b1]	J_A_B	1	1	3	0	0	0	2	0	0	1
82	17	16	A_B=[a1+a1,b1,b1]	C_A_B	1	0	0	3	0	0	2	0	0	1
82	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
83	4	16	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
83	7	16	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
83	8	16	A=[a1,a1,b1,b1]	C_A	1	1	6	0	0	0	2	2	0	0
83	19	16	A=[a1+a1,b1,b1]	C_A	2	1	3	0	0	0	2	0	0	1
83	22	16	A=[a1+a1+b1,b1]	J_A_B	1	1	1	0	0	0	2	0	0	0
83	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
84	4	16	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
84	7	16	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
84	8	16	A=[a1,a1,b1,b1]	C_A	1	1	6	0	0	0	2	2	0	0
84	12	16	A=[a1+a1,b1,b1]	C_A	1	1	3	0	0	0	2	0	0	1
84	17	16	A=[a1+a1,b1+b1]	J_A_B	1	1	1	0	0	0	0	0	0	2
84	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
85	4	16	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
85	7	16	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
85	9	16	A=[a1,a1,b1,b1]	C_A	4	1	6	0	0	0	2	2	0	0
85	18	16	A=[a1,a1+b1,b1]	J_A_B	1	1	3	0	0	0	1	1	1	0
85	22	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
85	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
86	4	16	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
86	7	16	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
86	9	16	A=[a1,a1,b1,b1]	C_A	4	1	6	0	0	0	2	2	0	0
86	18	16	A=[a1,a1+b1,b1]	J_A_B	1	1	3	0	0	0	1	1	1	0
86	21	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
86	16	16	A_B=[a1+b1,a1+b1]	C_A_B	1	0	0	1	0	0	0	0	2	0
87	4	16	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
87	7	16	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
87	9	16	A=[a1,a1,b1,b1]	C_A	4	1	6	0	0	0	2	2	0	0
87	18	16	A=[a1,a1+b1,b1]	J_A_B	1	1	3	0	0	0	1	1	1	0
87	14	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
87	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
88	4	16	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
88	7	16	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
88	9	16	A=[a1,a1,b1,b1]	C_A	4	1	6	0	0	0	2	2	0	0
88	19	16	A=[a1,a1+b1,b1]	C_A	1	1	3	0	0	0	1	1	1	0
88	22	16	A=[a1+a1+b1,b1]	J_A_B	1	1	1	0	0	0	2	0	0	0
88	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
89	4	16	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
89	7	16	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
89	9	16	A=[a1,a1,b1,b1]	C_A	4	1	6	0	0	0	2	2	0	0
89	20	16	A=[a1,a1+b1,b1]	C_A	1	1	3	0	0	0	1	1	1	0
89	21	16	A=[a1+b1,a1+b1]	J_A_B	1	1	1	0	0	0	0	0	2	0
89	16	16	A_B=[a1+b1,a1+b1]	C_A_B	1	0	0	1	0	0	0	0	2	0
90	4	16	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
90	7	16	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
90	9	16	A=[a1,a1,b1,b1]	C_A	4	1	6	0	0	0	2	2	0	0
90	13	16	A=[a1,a1+b1,b1]	C_A	1	1	3	0	0	0	1	1	1	0
90	14	16	A=[a1,a1+b1+b1]	J_A_B	1	1	1	0	0	0	0	2	0	0
90	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
91	4	16	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
91	7	16	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
91	10	16	A=[a1,a1,b1,b1]	C_A	1	1	6	0	0	0	2	2	0	0
91	11	16	A=[a1,a1,b1+b1]	J_A_B	1	1	3	0	0	0	0	2	0	1
91	17	16	A_B=[a1,a1,b1+b1]	C_A_B	1	0	0	3	0	0	0	2	0	1
91	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
92	4	16	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
92	7	16	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
92	10	16	A=[a1,a1,b1,b1]	C_A	1	1	6	0	0	0	2	2	0	0
92	11	16	A=[a1,a1,b1+b1]	J_A_B	1	1	3	0	0	0	0	2	0	1
92	14	16	A_B=[a1,a1,b1+b1]	C_A_B	2	0	0	3	0	0	0	2	0	1
92	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
93	4	16	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
93	7	16	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
93	10	16	A=[a1,a1,b1,b1]	C_A	1	1	6	0	0	0	2	2	0	0
93	12	16	A=[a1,a1,b1+b1]	C_A	1	1	3	0	0	0	0	2	0	1
93	17	16	A=[a1+a1,b1+b1]	J_A_B	1	1	1	0	0	0	0	0	0	2
93	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
94	4	16	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
94	7	16	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
94	10	16	A=[a1,a1,b1,b1]	C_A	1	1	6	0	0	0	2	2	0	0
94	13	16	A=[a1,a1,b1+b1]	C_A	2	1	3	0	0	0	0	2	0	1
94	14	16	A=[a1,a1+b1+b1]	J_A_B	1	1	1	0	0	0	0	2	0	0
94	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
