path_idx	node_id	LCA	label	event	count	J_A_B	C_A	C_A_B	C_B	M_B_A	m_1	m_2	m_3	m_4
24	18	16	A_B=[a1,a1,b1,b1]	C_A_B	4	0	0	6	0	0	2	2	0	0
24	21	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
24	16	16	A_B=[a1+b1,a1+b1]	C_A_B	1	0	0	1	0	0	0	0	2	0
25	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
25	18	16	A_B=[a1,a1,b1,b1]	C_A_B	4	0	0	6	0	0	2	2	0	0
25	14	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
25	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
26	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
26	11	16	A_B=[a1,a1,b1,b1]	C_A_B	1	0	0	6	0	0	2	2	0	0
26	17	16	A_B=[a1,a1,b1+b1]	C_A_B	1	0	0	3	0	0	0	2	0	1
26	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
