path_idx	node_id	LCA	label	event	count	C_A	C_B	M_A_B	m_1	m_2	m_3	m_4
14	12	12	B=[a1+a1+b1,b1]	C_B	1	0	1	0	2	0	0	0
15	3	12	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	2	2	2	0	0
15	6	12	A=[a1];B=[a1,b1,b1]	M_A_B	1	0	3	1	2	2	0	0
15	7	12	B=[a1,a1,b1,b1]	C_B	1	0	6	0	2	2	0	0
15	10	12	B=[a1+a1,b1,b1]	C_B	1	0	3	0	2	0	0	1
15	12	12	B=[a1+a1,b1+b1]	C_B	1	0	1	0	0	0	0	2
16	3	12	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	2	2	2	0	0
16	6	12	A=[a1];B=[a1,b1,b1]	M_A_B	1	0	3	1	2	2	0	0
16	8	12	B=[a1,a1,b1,b1]	C_B	4	0	6	0	2	2	0	0
16	13	12	B=[a1,a1+b1,b1]	C_B	1	0	3	0	1	1	1	0
16	12	12	B=[a1+a1+b1,b1]	C_B	1	0	1	0	2	0	0	0
17	3	12	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	2	2	2	0	0
17	6	12	A=[a1];B=[a1,b1,b1]	M_A_B	1	0	3	1	2	2	0	0
17	8	12	B=[a1,a1,b1,b1]	C_B	4	0	6	0	2	2	0	0
17	14	12	B=[a1,a1+b1,b1]	C_B	1	0	3	0	1	1	1	0
17	12	12	B=[a1+b1,a1+b1]	C_B	1	0	1	0	0	0	2	0
18	3	12	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	2	2	2	0	0
18	6	12	A=[a1];B=[a1,b1,b1]	M_A_B	1	0	3	1	2	2	0	0
18	8	12	B=[a1,a1,b1,b1]	C_B	4	0	6	0	2	2	0	0
18	11	12	B=[a1,a1+b1,b1]	C_B	1	0	3	0	1	1	1	0
18	12	12	B=[a1,a1+b1+b1]	C_B	1	0	1	0	0	2	0	0
19	3	12	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	2	2	2	0	0
19	6	12	A=[a1];B=[a1,b1,b1]	M_A_B	1	0	3	1	2	2	0	0
19	9	12	B=[a1,a1,b1,b1]	C_B	1	0	6	0	2	2	0	0
19	10	12	B=[a1,a1,b1+b1]	C_B	1	0	3	0	0	2	0	1
19	12	12	B=[a1+a1,b1+b1]	C_B	1	0	1	0	0	0	0	2
20	3	12	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	2	2	2	0	0
20	6	12	A=[a1];B=[a1,b1,b1]	M_A_B	1	0	3	1	2	2	0	0
20	9	12	B=[a1,a1,b1,b1]	C_B	1	0	6	0	2	2	0	0
20	11	12	B=[a1,a1,b1+b1]	C_B	2	0	3	0	0	2	0	1
20	12	12	B=[a1,a1+b1+b1]	C_B	1	0	1	0	0	2	0	0
