path_idx	node_id	LCA	label	event	count	C_A	C_B	M_A_B	m_2	m_4
94	19	21	B=[a1+a1,a2,a2]	C_B	1	0	3	0	2	1
94	21	21	B=[a1+a1,a2+a2]	C_B	1	0	1	0	0	2
95	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
95	36	21	A=[a1,a2,a2];B=[a1]	M_A_B	1	3	0	3	4	0
95	28	21	A=[a2,a2];B=[a1,a1]	M_A_B	2	1	1	2	4	0
95	30	21	A=[a2];B=[a1,a1,a2]	C_B	2	0	3	1	4	0
95	31	21	A=[a2];B=[a1,a1+a2]	C_B	1	0	1	1	2	1
95	22	21	A=[a2];B=[a1+a1+a2]	M_A_B	1	0	0	1	1	0
95	21	21	B=[a1+a1+a2,a2]	C_B	1	0	1	0	1	0
96	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
96	36	21	A=[a1,a2,a2];B=[a1]	M_A_B	1	3	0	3	4	0
