path_idx	node_id	LCA	label	event	count	C_A	C_B	M_A_B	m_2	m_4
50	24	21	A=[a1];B=[a1+a2,a2]	C_B	1	0	1	1	2	1
50	20	21	A=[a1];B=[a1+a2+a2]	M_A_B	1	0	0	1	1	0
50	21	21	B=[a1,a1+a2+a2]	C_B	1	0	1	0	1	0
51	2	21	A=[a1,a1,a2,a2]	C_A	4	6	0	4	4	0
51	7	21	A=[a1,a1+a2,a2]	M_A_B	1	3	0	3	2	1
51	13	21	A=[a1,a1+a2];B=[a2]	M_A_B	1	1	0	2	2	1
51	17	21	A=[a1];B=[a1+a2,a2]	M_A_B	1	0	1	1	2	1
51	22	21	B=[a1,a1+a2,a2]	C_B	1	0	3	0	2	1
51	21	21	B=[a1+a1+a2,a2]	C_B	1	0	1	0	1	0
52	2	21	A=[a1,a1,a2,a2]	C_A	4	6	0	4	4	0
52	7	21	A=[a1,a1+a2,a2]	M_A_B	1	3	0	3	2	1
52	13	21	A=[a1,a1+a2];B=[a2]	M_A_B	1	1	0	2	2	1
52	17	21	A=[a1];B=[a1+a2,a2]	M_A_B	1	0	1	1	2	1
52	23	21	B=[a1,a1+a2,a2]	C_B	1	0	3	0	2	1
52	21	21	B=[a1+a2,a1+a2]	C_B	1	0	1	0	0	2
53	2	21	A=[a1,a1,a2,a2]	C_A	4	6	0	4	4	0
53	7	21	A=[a1,a1+a2,a2]	M_A_B	1	3	0	3	2	1
53	13	21	A=[a1,a1+a2];B=[a2]	M_A_B	1	1	0	2	2	1
53	17	21	A=[a1];B=[a1+a2,a2]	M_A_B	1	0	1	1	2	1
53	20	21	B=[a1,a1+a2,a2]	C_B	1	0	3	0	2	1
53	21	21	B=[a1,a1+a2+a2]	C_B	1	0	1	0	1	0
54	3	21	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
54	41	21	A=[a1,a1,a2+a2]	C_A	1	3	0	3	2	1
54	39	21	A=[a1+a1,a2+a2]	M_A_B	1	1	0	2	0	2
54	19	21	A=[a2+a2];B=[a1+a1]	M_A_B	1	0	0	1	0	2
54	21	21	B=[a1+a1,a2+a2]	C_B	1	0	1	0	0	2
55	3	21	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
55	41	21	A=[a1,a1,a2+a2]	C_A	1	3	0	3	2	1
55	25	21	A=[a1+a1,a2+a2]	M_A_B	1	1	0	2	0	2
55	19	21	A=[a1+a1];B=[a2+a2]	M_A_B	1	0	0	1	0	2
55	21	21	B=[a1+a1,a2+a2]	C_B	1	0	1	0	0	2
56	3	21	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
56	42	21	A=[a1,a1,a2+a2]	C_A	2	3	0	3	2	1
56	40	21	A=[a1,a1+a2+a2]	M_A_B	1	1	0	2	1	0
56	20	21	A=[a1+a2+a2];B=[a1]	M_A_B	1	0	0	1	1	0
56	21	21	B=[a1,a1+a2+a2]	C_B	1	0	1	0	1	0
57	3	21	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
57	42	21	A=[a1,a1,a2+a2]	C_A	2	3	0	3	2	1
57	24	21	A=[a1,a1+a2+a2]	M_A_B	1	1	0	2	1	0
57	20	21	A=[a1];B=[a1+a2+a2]	M_A_B	1	0	0	1	1	0
57	21	21	B=[a1,a1+a2+a2]	C_B	1	0	1	0	1	0
58	3	21	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
58	35	21	A=[a1,a1,a2+a2]	M_A_B	2	3	0	3	2	1
58	40	21	A=[a1,a2+a2];B=[a1]	C_A	1	1	0	2	2	1
58	20	21	A=[a1+a2+a2];B=[a1]	M_A_B	1	0	0	1	1	0
58	21	21	B=[a1,a1+a2+a2]	C_B	1	0	1	0	1	0
59	3	21	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
59	35	21	A=[a1,a1,a2+a2]	M_A_B	2	3	0	3	2	1
59	37	21	A=[a1,a2+a2];B=[a1]	M_A_B	1	1	0	2	2	1
59	39	21	A=[a2+a2];B=[a1,a1]	C_B	1	0	1	1	2	1
59	19	21	A=[a2+a2];B=[a1+a1]	M_A_B	1	0	0	1	0	2
59	21	21	B=[a1+a1,a2+a2]	C_B	1	0	1	0	0	2
60	3	21	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
60	35	21	A=[a1,a1,a2+a2]	M_A_B	2	3	0	3	2	1
60	37	21	A=[a1,a2+a2];B=[a1]	M_A_B	1	1	0	2	2	1
60	18	21	A=[a2+a2];B=[a1,a1]	M_A_B	1	0	1	1	2	1
60	19	21	B=[a1,a1,a2+a2]	C_B	1	0	3	0	2	1
60	21	21	B=[a1+a1,a2+a2]	C_B	1	0	1	0	0	2
61	3	21	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
61	35	21	A=[a1,a1,a2+a2]	M_A_B	2	3	0	3	2	1
61	37	21	A=[a1,a2+a2];B=[a1]	M_A_B	1	1	0	2	2	1
61	18	21	A=[a2+a2];B=[a1,a1]	M_A_B	1	0	1	1	2	1
61	20	21	B=[a1,a1,a2+a2]	C_B	2	0	3	0	2	1
61	21	21	B=[a1,a1+a2+a2]	C_B	1	0	1	0	1	0
62	3	21	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
62	35	21	A=[a1,a1,a2+a2]	M_A_B	2	3	0	3	2	1
62	14	21	A=[a1,a2+a2];B=[a1]	M_A_B	1	1	0	2	2	1
62	24	21	A=[a1];B=[a1,a2+a2]	C_B	1	0	1	1	2	1
62	20	21	A=[a1];B=[a1+a2+a2]	M_A_B	1	0	0	1	1	0
62	21	21	B=[a1,a1+a2+a2]	C_B	1	0	1	0	1	0
63	3	21	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
63	35	21	A=[a1,a1,a2+a2]	M_A_B	2	3	0	3	2	1
63	14	21	A=[a1,a2+a2];B=[a1]	M_A_B	1	1	0	2	2	1
63	18	21	A=[a1];B=[a1,a2+a2]	M_A_B	1	0	1	1	2	1
63	19	21	B=[a1,a1,a2+a2]	C_B	1	0	3	0	2	1
63	21	21	B=[a1+a1,a2+a2]	C_B	1	0	1	0	0	2
64	3	21	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
64	35	21	A=[a1,a1,a2+a2]	M_A_B	2	3	0	3	2	1
64	14	21	A=[a1,a2+a2];B=[a1]	M_A_B	1	1	0	2	2	1
64	18	21	A=[a1];B=[a1,a2+a2]	M_A_B	1	0	1	1	2	1
64	20	21	B=[a1,a1,a2+a2]	C_B	2	0	3	0	2	1
64	21	21	B=[a1,a1+a2+a2]	C_B	1	0	1	0	1	0
65	3	21	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
65	11	21	A=[a1,a1,a2+a2]	M_A_B	1	3	0	3	2	1
65	25	21	A=[a1,a1];B=[a2+a2]	C_A	1	1	0	2	2	1
65	19	21	A=[a1+a1];B=[a2+a2]	M_A_B	1	0	0	1	0	2
