"key","m_e","N_mel","N_cyd"
1,0.,0.07872910828026405,0.1740974346434636
2,0.,0.07872910828026405,0.3481948692869272
3,0.,0.07872910828026405,0.5222923039303908
4,0.,0.07872910828026405,0.6963897385738544
5,0.,0.07872910828026405,0.870487173217318
6,0.,0.07872910828026405,1.0445846078607817
7,0.,0.07872910828026405,1.2186820425042453
8,0.,0.07872910828026405,1.3927794771477089
9,0.,0.07872910828026405,1.5668769117911725
10,0.,0.07872910828026405,1.740974346434636
11,0.,0.07872910828026405,1.9150717810780997
12,0.,0.1574582165605281,0.1740974346434636
13,0.,0.1574582165605281,0.3481948692869272
14,0.,0.1574582165605281,0.5222923039303908
15,0.,0.1574582165605281,0.6963897385738544
16,0.,0.1574582165605281,0.870487173217318
17,0.,0.1574582165605281,1.0445846078607817
18,0.,0.1574582165605281,1.2186820425042453
19,0.,0.1574582165605281,1.3927794771477089
20,0.,0.1574582165605281,1.5668769117911725
21,0.,0.1574582165605281,1.740974346434636
22,0.,0.1574582165605281,1.9150717810780997
23,0.,0.23618732484079216,0.1740974346434636
24,0.,0.23618732484079216,0.3481948692869272
25,0.,0.23618732484079216,0.5222923039303908
26,0.,0.23618732484079216,0.6963897385738544
27,0.,0.23618732484079216,0.870487173217318
28,0.,0.23618732484079216,1.0445846078607817
29,0.,0.23618732484079216,1.2186820425042453
30,0.,0.23618732484079216,1.3927794771477089
31,0.,0.23618732484079216,1.5668769117911725
32,0.,0.23618732484079216,1.740974346434636
33,0.,0.23618732484079216,1.9150717810780997
34,0.,0.3149164331210562,0.1740974346434636
35,0.,0.3149164331210562,0.3481948692869272
36,0.,0.3149164331210562,0.5222923039303908
37,0.,0.3149164331210562,0.6963897385738544
38,0.,0.3149164331210562,0.870487173217318
39,0.,0.3149164331210562,1.0445846078607817
40,0.,0.3149164331210562,1.2186820425042453
41,0.,0.3149164331210562,1.3927794771477089
42,0.,0.3149164331210562,1.5668769117911725
43,0.,0.3149164331210562,1.740974346434636
44,0.,0.3149164331210562,1.9150717810780997
45,0.,0.39364554140132024,0.1740974346434636
46,0.,0.39364554140132024,0.3481948692869272
47,0.,0.39364554140132024,0.5222923039303908
48,0.,0.39364554140132024,0.6963897385738544
49,0.,0.39364554140132024,0.870487173217318
50,0.,0.39364554140132024,1.0445846078607817
51,0.,0.39364554140132024,1.2186820425042453
52,0.,0.39364554140132024,1.3927794771477089
53,0.,0.39364554140132024,1.5668769117911725
54,0.,0.39364554140132024,1.740974346434636
55,0.,0.39364554140132024,1.9150717810780997
56,0.,0.4723746496815843,0.1740974346434636
57,0.,0.4723746496815843,0.3481948692869272
58,0.,0.4723746496815843,0.5222923039303908
