hetA	fixed	hetB	hetAB	probability
2	0	1	0	0.03025631143542796
0	0	0	0	0.03670184051193321
0	0	1	0	0.02292285951780412
0	0	2	0	0.012741832835657744
0	0	0	1	0.005202618987621875
0	0	1	1	0.005423162651008697
0	0	2	1	0.003434217945418722
0	0	0	2	0.0019081001144055846
0	0	1	2	0.0022627941815021335
0	0	2	2	0.0015149362676341233
0	1	0	0	0.02324723122725829
0	1	1	0	0.012755412314407306
0	1	2	0	0.007225820726342876
0	2	0	0	0.020283050619648232
0	2	1	0	0.010371749700916756
0	2	2	0	0.005294487420402749
1	0	1	0	0.030150345640914553
1	0	2	0	0.01396919128262757
1	0	0	1	0.008435952043791873
1	0	1	1	0.008411174895047788
1	0	2	1	0.005176571913169936
1	0	0	2	0.002751695529108686
1	0	1	2	0.003227813952921751
1	0	2	2	0.002163770329539543
1	1	0	0	0.013715504643168955
1	1	1	0	0.005096339776205946
1	1	2	0	0.0020657127214455937
1	2	0	0	0.0069512366419049775
1	2	1	0	0.0027708936004320938
1	2	2	0	0.0011676883209959874
2	0	0	0	0.05980659404014059
2	0	2	0	0.012951506040637285
2	0	0	1	0.007661455792201745
2	0	1	1	0.007270388437175028
2	0	2	1	0.004311474297389449
2	0	0	2	0.0022035905033442314
2	0	1	2	0.0025295117922980825
2	0	2	2	0.0016836378270273906
2	1	0	0	0.013032729324679998
2	1	1	0	0.004072432121352194
2	1	2	0	0.0012692659899219546
2	2	0	0	0.005025825442464135
2	2	1	0	0.00159753174375698
2	2	2	0	0.0005165911329009039
*	*	*	*	0.4315328522339557
