hetA	fixed	hetB	hetAB	probability
2	0	1	0	2565023949214338121124493890926512678926991946131600766740732101082865409586279515681544842135836313423505403195229832650183480960905706483477905151185065916076128588085342837942021/101540427892771744151211679620496384780880516176549593551355575959891734793277871506341586568356091198153476498124744654277261816003071971717883140242610977990119181585827803774210800
0	0	0	0	3755512459594834572985826959783008432201179288000195210102863/35039002557392596514488566774546409894961780608130104858763736
0	0	1	0	33544434613282266444215720713455469237275494209770233271632504259696189095188836405211088852830758346914309989459668343470626686816858492137/551031670042163909507964519545105010388046495222331767917860095256113744222643076483068558614943708917576409484347558209906721623503639079880
0	0	2	0	744261085384578450413306514692037380311794361810414142321967387067181679898796077948385199369772683976712884661836352139063622145242211324873/23648079960037921711313798374130902527965386567725656509744853098545438864384489062877701946230083066376313309285595968243634039604384396459760
0	0	0	1	748479193363365392325324791334256081/51013445133421304658845488690639872400
0	0	1	1	14285366489950674760364029733981292223711175978935608179801/1429767809500683842209866805855564506739190734078263725661267
0	0	2	1	2026251058912533878967357742886432807536893429561365081398319/428948523090558656250259420200188320094839693206482501111830816
0	0	0	2	168282253879760550127400076177822994527866581/27030438324754910478757668848293477535526314064
0	0	1	2	11498311449520860376177441706429079618057039260226950748761159/2878861346606841622383680796969316343951126716843430944043265561
0	0	2	2	2227742057755978673149700034398045722893260935432890590364655738/1308650320446567207207577521593317828021564542833594794952502413445
0	1	0	0	547464676311082461583375785517638985454411271737216988389343613008053718512185961687486863343/18643655397188862793222354908825864012799172289760861769182125049457077343553737554231908937440
0	1	1	0	2059888552763017804785144290025635572740133149707924698472497552492590974286805880625954468132893965058126356531/158808638188783440048561910091759926065720537912582792927340448245421105895213788798420517086985983011861078222800
0	1	2	0	1029202985751748446318490637763588889084369900323720364786294099722353503879975971752478827694375375771871428751347553183567/161061286709499708005917685948270325256165046100332666384941650091578261337685172023472745182919692671557160023905322899746760
0	2	0	0	665330119772341650811624357845272120454360012569690881943136441587950642297375950881053584035641/42914738828252043778619661821655390850392416525559978473685296441619434001050404070276592824440350
0	2	1	0	20475086961921918435661295095222834106920323954145898047076248198838501214487069075451556543821769759521591706958629779003603/3271339693228040400201124969557670726238655322633924420831169054087462572852678400757795496072606512649874061034242855266244000
0	2	2	0	4648006703229799946322214635125782446331140559726982014990272954429946694460328928877673655553053548653807274533374810666391442675723/1723889147909479555663927526142707803295834028091736163662344463941044973022999047661965657953319632407657661845098123395180915593638830
1	0	1	0	15732588912827194937898234220573426175366397506197438322425380995454635109220136288221215188578383792733794738391995488784307559602379327971/378394308609650531161105909470053463631985050006943871560792832587922260620228338731546948137344565814888637147989774882536274212548976878825
1	0	2	0	32256012740482205186028399295696387104919799629888754021339086840257445744052304738978875597825779458109238817463884377692776202054093408117365036124398633044471034141248099680840123/1677357852026332987728674655209440981814461352099544059187725662578292130448419632324361894422868300006854544771297121927248952833439607683317463131296025910713610489820383768701603400
1	0	0	1	92564459702341711850801741605098703570265025856611628693/8574627659838828839535312913037597286396720362540867966391
1	0	1	1	82177145981708239775746287850322706951085/9648051592680845753311807461772505475815784
1	0	2	1	2370752786428279271184984261953420030584687562652386338339/538957248920880402430270615389226618050360281118941674528050
1	0	0	2	4810016484813414698255453324015079892989887387992848483194410/1176654919131124126698029307585922050885795294725079051065466717
1	0	1	2	1284024251264453306613146004819580471155727471/395166655590699894391919400439815361866929277420
1	0	2	2	244338378401852122269882901281136885891368856758760007690495131/150493165818200264948217380001782586404489349635345984258975680200
1	1	0	0	1541584634901825642994718140293405077885200149510863491850711866878117987297960378487484040133610523241348183704665359/93915916886277195778258830113178165652009103058261706367163464589835342538435340501173068229089096551823007091699885360
1	1	1	0	3109259039677091803525110655688171532339837220744680037729597334070150864828286812445966754819772186858247/559495825183071043472066749664760666797560549847209010707161003628881943982042220902398887795756964609261200
1	1	2	0	12603447090129911896692459053431583285662508607944237662635074189572448535351508741100651129400306124389902124300489864504751865/5913009123357248323843132483502072013162043918145155610061951301845416657401695284499474537792637196796363780341539982083261225944
1	2	0	0	962161980704998522483079204051998872735328035415747570089224154645308935217374974564913852144257036552212515226374103385529/138299122020112126173109873451565783364038393932694220757800211231674348721020424636649201109029751978180302206217404861361279
1	2	1	0	45211380710618154345121432233507485591234394052377443213872415146935141893092506699817908747389290399676588113/18953660381087429496121802300123441479403821269798342160846685906565543453271811138240098245317896912825961636070
