path_idx	node_id	LCA	label	event	count	J_A_B	C_A	C_A_B	C_B	M_A_B	m_1	m_2	m_3	m_4
0	1	47	A=[a1,a1,a2,a2];B=[b1,b1]	J_A_B	1	1	6	0	1	4	2	4	0	0
0	154	47	A_B=[a1,a1,a2,a2,b1,b1]	C_A_B	1	0	0	15	0	0	2	4	0	0
0	153	47	A_B=[a1+a1,a2,a2,b1,b1]	C_A_B	2	0	0	10	0	0	2	2	0	1
0	140	47	A_B=[a1+a1+a2,a2,b1,b1]	C_A_B	1	0	0	6	0	0	2	1	0	0
