path_idx	origin	label	A&B	C=A	C=A&B	a1	a1a1	a1a1a2	a1a1a2a2	a1a2	a1a2a2	a2	a2a2
19	10	A&B=[a1,a1+a2+a2]	0	0	1	1	0	0	0	0	1	0	0
19	10	A&B=[a1,a1+a2+a2]	0	0	0	0	0	0	0	0	0	0	0
20	10	A=[a1,a1,a2,a2]	1	6	0	2	0	0	0	0	0	2	0
20	10	A=[a1,a1,a2+a2]	1	3	0	2	0	0	0	0	0	0	1
20	10	A=[a1+a1,a2+a2]	1	1	0	0	1	0	0	0	0	0	1
20	10	A&B=[a1+a1,a2+a2]	0	0	1	0	1	0	0	0	0	0	1
20	10	A&B=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0
21	10	A=[a1,a1,a2,a2]	1	6	0	2	0	0	0	0	0	2	0
21	10	A=[a1,a1,a2+a2]	1	3	0	2	0	0	0	0	0	0	1
21	10	A=[a1,a1+a2+a2]	1	1	0	1	0	0	0	0	1	0	0
21	10	A&B=[a1,a1+a2+a2]	0	0	1	1	0	0	0	0	1	0	0
21	10	A&B=[a1,a1+a2+a2]	0	0	0	0	0	0	0	0	0	0	0
1	9	A=[a1,a1,a2,a2]	1	6	0	2	0	0	0	0	0	2	0
1	9	A=[a1+a1,a2,a2]	1	3	0	0	1	0	0	0	0	2	0
1	9	A=[a1+a1+a2,a2]	1	1	0	0	0	1	0	0	0	1	0
1	9	A=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0
2	9	A=[a1,a1,a2,a2]	1	6	0	2	0	0	0	0	0	2	0
2	9	A=[a1+a1,a2,a2]	1	3	0	0	1	0	0	0	0	2	0
2	9	A=[a1+a1,a2+a2]	1	1	0	0	1	0	0	0	0	0	1
2	9	A=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0
3	9	A=[a1,a1,a2,a2]	1	6	0	2	0	0	0	0	0	2	0
3	9	A=[a1,a1+a2,a2]	1	3	0	1	0	0	0	1	0	1	0
3	9	A=[a1+a1+a2,a2]	1	1	0	0	0	1	0	0	0	1	0
3	9	A=[a1+a1+a2,a2]	0	0	0	0	0	0	0	0	0	0	0
4	9	A=[a1,a1,a2,a2]	1	6	0	2	0	0	0	0	0	2	0
4	9	A=[a1,a1+a2,a2]	1	3	0	1	0	0	0	1	0	1	0
4	9	A=[a1+a2,a1+a2]	1	1	0	0	0	0	0	2	0	0	0
