hetA	fixed	hetB	hetAB	probability
0	0	0	0	0.03604291240251284
0	0	0	1	5.76051673808449e-05
0	0	0	2	2.5820498005302954e-05
0	0	1	0	0.022366339963367562
0	0	1	1	0.00011940728267086561
0	0	1	2	5.209480295240936e-05
0	0	2	0	0.013624303126123505
0	0	2	1	0.0001275724894778125
0	0	2	2	5.358350829400712e-05
0	1	0	0	0.05615729268868366
0	1	1	0	0.028695410518027306
0	1	2	0	0.014517112480914982
0	2	0	0	0.052087648034820286
0	2	1	0	0.023686600615454138
0	2	2	0	0.010554099020953594
1	0	0	0	0.026517623214090236
1	0	0	1	0.00011940728267086561
1	0	0	2	5.209480295240936e-05
1	0	1	0	0.016399221317768952
1	0	1	1	0.0002504900159349507
1	0	1	2	0.00010658514621042994
1	0	2	0	0.009865681562762492
1	0	2	1	0.0002710008722289148
1	0	2	2	0.00011137976125134528
1	1	0	0	0.03339454383647609
1	1	1	0	0.016239072559535203
1	1	2	0	0.007740350074453557
1	2	0	0	0.026993365941901083
1	2	1	0	0.011776662862323265
1	2	2	0	0.005001496315393352
2	0	0	0	0.018550443213055934
2	0	0	1	0.0001275724894778125
2	0	0	2	5.358350829400712e-05
2	0	1	0	0.01134805697583335
2	0	1	1	0.0002710008722289148
2	0	1	2	0.00011137976125134528
2	0	2	0	0.006663481062761554
2	0	2	1	0.0002969984793859206
2	0	2	2	0.00011847479181362929
2	1	0	0	0.019513843275783357
2	1	1	0	0.009000055645892218
2	1	2	0	0.004000089369153059
2	2	0	0	0.01370633952740855
2	2	1	0	0.005707820331059106
2	2	2	0	0.0022982323107191317
3+	0	0	0	0.029717349971881094
3+	0	0	1	0.00020826513422559707
3+	0	0	2	7.497329836397829e-05
3+	0	1	0	0.01753590340372209
3+	0	1	1	0.0004526935578678536
3+	0	1	2	0.00016165411976144583
3+	0	2	0	0.009621024745555904
3+	0	2	1	0.0005070241779554412
3+	0	2	2	0.0001790160418071979
3+	1	0	0	0.025739427936611062
3+	1	1	0	0.01101862000649674
3+	1	2	0	0.0043764279415901865
3+	2	0	0	0.014502356918784973
3+	2	1	0	0.0055389176506699805
3+	2	2	0	0.002014197157250531
0	3+	0	0	0.09122855328274496
0	3+	1	0	0.03725041949140419
0	3+	2	0	0.014708181209812397
1	3+	0	0	0.041606496051749445
1	3+	1	0	0.016717019429739424
1	3+	2	0	0.006481464088895172
2	3+	0	0	0.018325166558960444
2	3+	1	0	0.007224803553628652
2	3+	2	0	0.0027474869960874733
0	0	3+	0	0.018906030571693946
0	0	3+	1	0.00020826513422559707
0	0	3+	2	7.497329836397829e-05
0	1	3+	0	0.015995498590309437
0	2	3+	0	0.00924275864523487
1	0	3+	0	0.013050296770765635
1	0	3+	1	0.0004526935578678536
1	0	3+	2	0.00016165411976144583
1	1	3+	0	0.00770713813080301
1	2	3+	0	0.003963745516491729
2	0	3+	0	0.008158755798702753
2	0	3+	1	0.0005070241779554412
2	0	3+	2	0.0001790160418071979
2	1	3+	0	0.0034630826261294947
2	2	3+	0	0.0016261182309140927
0	0	0	3+	2.9224439714176098e-05
0	0	1	3+	5.816514488547406e-05
0	0	2	3+	5.864994026938235e-05
1	0	0	3+	5.816514488547406e-05
1	0	1	3+	0.00011721675619911359
1	0	2	3+	0.0001198698190932497
2	0	0	3+	5.864994026938408e-05
2	0	1	3+	0.0001198698190932497
2	0	2	3+	0.0001245518327349475
3+	3+	0	0	0.01394008113871159
3+	3+	1	0	0.005211299176843848
3+	3+	2	0	0.0018863734309525343
3+	0	3+	0	0.009563801109119252
3+	0	3+	1	0.000884361511876576
3+	0	3+	2	0.00029457442108555155
3+	1	3+	0	0.0028066137340992947
3+	2	3+	0	0.0011404984727234058
3+	0	0	3+	7.48634289778477e-05
3+	0	1	3+	0.00015790433880812083
3+	0	2	3+	0.00017010387618235367
0	3+	3+	0	0.009482293903396832
1	3+	3+	0	0.003966856550616904
2	3+	3+	0	0.001602824849876533
0	0	3+	3+	7.486342897786158e-05
1	0	3+	3+	0.0001579043388081347
2	0	3+	3+	0.00017010387618235367
3+	3+	3+	0	0.0010087027211782562
3+	0	3+	3+	0.0002529691381354393
*	*	*	*	1.0000000000000002
